TICKER
A
AABA
AAPL
ABC
ABI
ABKFQ
ABT
ACAS
ACS
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AET
AFL
AGN
AIG
AIV
AIZ
AKAM
ALL
ALTR
AMAT
AMD
AMGN
AMP
AMT
AMZN
AN
ANDV
ANF
ANTM
AON
APA
APC
APD
APOL
ARNC
ASH
ATI
AVB
AVP
AVY
AW
AXP
AYE
AZO
BA
BAC
BAX
BBBY
BBT
BBY
BC
BCR
BDK
BDX
BEAM
BEN
BF.B
BHGE
BIG
BIIB
BJS
BK
BLL
BMC
BMS
BMY
BNI
BRCM
BRL
BSC
BSX
BTUUQ
BUD
BXP
C
CA
CAG
CAH
CAT
CB
CBE
CBH
CBRE
CBS
CCE
CCL
CCTYQ
CCU
CEG
CELG
CFC
CHK
CHRW
CI
CIEN
CINF
CITGQ
CL
CLX
CMA
CMCSA
CME
CMI
CMS
CNP
CNX
COF
COL
COP
COST
COV
CPB
CPWR
CSCO
CSX
CTAS
CTL
CTSH
CTX
CTXS
CVG
CVH
CVS
CVX
D
DD
DDR
DDS
DE
DELL
DF
DFS
DGX
DHI
DHR
DIS
DOV
DOW
DRI
DTE
DTV
DUK
DVN
DXC
DYN
EA
EBAY
ECL
ED
EDS
EFX
EIX
EKDKQ
EL
EMC
EMN
EMR
EOG
EP
EQ
EQR
ESRX
ESV
ETFC
ETN
ETR
EXC
EXPD
EXPE
F
FCX
FDO
FDX
FE
FHN
FII
FIS
FISV
FITB
FLR
FMCC
FNMA
FOXA
FRX
FTR
GAS
GD
GE
GENZ
GGP
GHC
GILD
GIS
GLW
GME
GNW
GOOGL
GPC
GPS
GR
GS
GT
GWW
HAL
HAR
HAS
HBAN
HCBK
HD
HES
HET
HIG
HNZ
HOG
HON
HOT
HPC
HPQ
HRB
HSH
HSP
HST
HSY
HUM
IAC
IBM
ICE
IFF
IGT
INTC
INTU
IP
IPG
IR
ITT
ITW
JAVA
JBL
JCI
JCP
JEC
JEF
JNJ
JNPR
JNS
JNY
JPM
JWN
K
KATE
KBH
KEY
KG
KIM
KLAC
KMB
KO
KR
KSS
L
LB
LEG
LEHMQ
LEN
LH
LLL
LLTC
LLY
LM
LMT
LNC
LOW
LSI
LUV
LXK
M
MAR
MAS
MAT
MBI
MCD
MCHP
MCK
MCO
MDLZ
MDP
MDT
MER
MET
MHS
MI
MIL
MKC
MMC
MMM
MO
MOLX
MON
MRK
MRO
MS
MSFT
MSI
MTB
MTG
MTLQQ
MTW
MU
MUR
MWV
MWW
MYL
NBL
NBR
NCC
NE
NEE
NEM
NI
NKE
NOC
NOV
NOVL
NSC
NSM
NTAP
NTRS
NUE
NVDA
NVLS
NWL
NYT
NYX
ODP
OMC
OMX
ORCL
OXY
PAYX
PBG
PBI
PCAR
PCG
PCL
PCP
PDCO
PEG
PEP
PFE
PFG
PG
PGN
PGR
PH
PHM
PKI
PLD
PLL
PNC
PNW
POM
PPG
PPL
PRU
PSA
PTV
PX
Q
QCOM
QLGC
R
RAI
RDC
RF
RHI
RIG
RL
ROH
ROK
RRC
RRD
RSHCQ
RTN
RX
S
SAF
SBUX
SCHW
SE
SEE
SGP
SHLD
SHW
SIAL
SII
SLB
SLM
SNA
SNDK
SNV
SO
SOV
SPG
SPGI
SPLS
SRE
SSP
STI
STJ
STR
STT
STZ
SUN
SUNEQ
SVU
SWK
SWY
SYK
SYMC
SYY
T
TAP
TDC
TE
TEG
TEL
TER
TEX
TGNA
TGT
THC
TIE
TIF
TJX
TLAB
TMK
TMO
TPR
TROW
TRV
TSN
TT
TWX
TXN
TXT
UIS
UNH
UNM
UNP
UPS
USB
UST
UTX
VAR
VFC
VIAB
VIAV
VLO
VMC
VNO
VRSN
VZ
WAMUQ
WAT
WB
WBA
WEN
WFC
WFM
WFT
WHR
WIN
WM
WMB
WMT
WU
WWY
WY
WYE
WYND
X
XEL
XL
XLNX
XOM
XRX
XTO
YUM
ZBH
ZION
