GVKEY,DATE,YEAR,MLVALT
1602,31/12/2017,2017,125590.58
1602,31/12/2018,2018,122564.232
1632,31/10/2006,2006,10882.44
1632,31/10/2007,2007,10150.2248
1632,31/10/2008,2008,6219.8825
1632,31/10/2009,2009,7480.4231
1632,31/10/2010,2010,10055.6465
1632,31/10/2011,2011,10896.4338
1632,31/10/2012,2012,11790.7295
1632,31/10/2013,2013,15334.5185
1632,31/10/2014,2014,15441.9921
1632,31/10/2015,2015,18761.1073
1632,31/10/2016,2016,19753.7611
1632,31/10/2017,2017,33656.4668
1632,31/10/2018,2018,30986.0936
1661,31/12/2006,2006,8248.8515
1661,31/12/2007,2007,7651.013
1661,31/12/2008,2008,3386.6601
1661,31/12/2009,2009,6227.7269
1661,31/12/2010,2010,6700.6452
1661,31/12/2011,2011,4987.4695
1661,31/12/2012,2012,4196.2656
1661,31/12/2013,2013,5017.096
1661,31/12/2014,2014,3756.5158
1661,31/12/2015,2015,2392.8758
1661,31/12/2016,2016,4656.37
1661,31/12/2017,2017,2149.4693
1661,31/12/2018,2018,713.704
1678,31/12/2006,2006,21997.3179
1678,31/12/2007,2007,35802.9696
1678,31/12/2008,2008,24945.9363
1678,31/12/2009,2009,34710.2053
1678,31/12/2010,2010,45592.5982
1678,31/12/2011,2011,34793.4084
1678,31/12/2012,2012,30743.8185
1678,31/12/2013,2013,34012.7316
1678,31/12/2014,2014,23595.5684
1678,31/12/2015,2015,16811.172
1678,31/12/2016,2016,24083.0568
1678,31/12/2017,2017,16083.9201
1678,31/12/2018,2018,9835.77
1690,30/09/2006,2006,65838.1457
1690,30/09/2007,2007,133876.3316
1690,30/09/2008,2008,100967.1332
1690,30/09/2009,2009,166779.0421
1690,30/09/2010,2010,259906.4875
1690,30/09/2011,2011,354351.9056
1690,30/09/2012,2012,626550.3528
1690,30/09/2013,2013,428699.7978
1690,30/09/2014,2014,591015.7208
1690,30/09/2015,2015,615336.4559
1690,30/09/2016,2016,603253.5663
1690,30/09/2017,2017,790050.0981
1690,30/09/2018,2018,1073390.54
1704,31/10/2006,2006,24202.1847
1704,31/10/2007,2007,26910.5076
1704,31/10/2008,2008,17180.1245
1704,31/10/2009,2009,16359.1874
